SurveyName,Timestamp,email,In which country do you currently reside?,Country CODE,Select the title most similar to your current role,How would you rate your expertise in these languages [Python],How would you rate your expertise in these languages [R],How would you rate your expertise in these languages [SQL],How would you rate your expertise in these languages [C],How would you rate your expertise in these languages [C++],How would you rate your expertise in these languages [Java],How would you rate your expertise in these languages [Javascript],How would you rate your expertise in these languages [Panda],How would you rate your expertise in these languages [Bash],How would you rate your expertise in these languages [MATLAB],How would you rate your expertise in these languages [Other],How would you rate your overall analytics expertise?,"Which of the following big data products (relational databases, data warehouses, data lakes, or similar) do you use on a regular basis?",Have you realized these types of initiatives in these platforms? [Data Warehouse],Have you realized these types of initiatives in these platforms? [Data Lakes],Have you realized these types of initiatives in these platforms? [ML/AI],Have you realized these types of initiatives in these platforms? [Data Preparation],Have you realized these types of initiatives in these platforms? [ETL],Have you realized these types of initiatives in these platforms? [Data Onboarding]
ANALYTICS SURVEY,2020-02-28 20:17:30,gpoupardij@free.fr,Russia,RU,Citizen Data Scientist,competent,none,none,none,beginner,beginner,expert,none,competent,proficient,expert,3,Amazon Redshift;Teradata,On-premise,AWS;Azure,AWS,AWS,Google Cloud,On-premise
ANALYTICS SURVEY FSI,2020-05-24 05:04:00,atartik@hhs.gov,China,CN,Mathematician,expert,proficient,proficient,expert,proficient,proficient,beginner,none,competent,proficient,proficient,3,Microsoft SQL Server,AWS,AWS,AWS,Google Cloud,Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY FSI,2020-06-13 08:50:39,djovicicil@harvard.edu,Colombia,CO,Statistician,proficient,beginner,competent,none,competent,beginner,competent,expert,competent,competent,competent,1,Teradata,On-premise,Google Cloud;Azure,Google Cloud;AWS,"Google Cloud;On-premise,AWS",Google Cloud,AWS
ANALYTICS SURVEY FEB-21,2020-06-15 12:56:29,csharplinim@de.vu,Venezuela,VE,Data Engineer,expert,beginner,expert,none,beginner,proficient,none,none,none,beginner,none,1,Teradata,Google Cloud,Google Cloud,Google Cloud,On-premise;AWS,"Google Cloud;On-premise,AWS",AWS;Azure
ANALYTICS SURVEY FEB-21,2020-03-04 17:35:46,mfleetin@trellian.com,Uruguay,UY,Citizen Data Scientist,none,competent,proficient,expert,proficient,none,proficient,beginner,none,expert,proficient,5,Teradata,On-premise,Google Cloud;AWS,Google Cloud;AWS,AWS,Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY,2020-10-01 21:37:31,bmullaneyio@fema.gov,United States,US,Data Analyst,expert,expert,none,beginner,none,expert,expert,expert,proficient,expert,competent,5,Google Cloud BigQuery,Google Cloud,Google Cloud;AWS;Azure,Google Cloud;AWS,"Google Cloud;On-premise,AWS",Google Cloud;AWS;Azure,AWS
ANALYTICS SURVEY,2020-11-29 18:13:58,dmataninip@histats.com,Indonesia,ID,Data Analyst,none,expert,none,proficient,expert,competent,competent,beginner,beginner,proficient,none,3,Google Cloud BigQuery,Azure,AWS;Azure,Google Cloud,Azure,On-premise;AWS,AWS;Azure
ANALYTICS SURVEY,2020-03-02 13:13:36,abrauntoniq@ed.gov,Indonesia,ID,Data Engineer,none,proficient,none,competent,expert,competent,beginner,proficient,competent,proficient,competent,3,Microsoft SQL Server,AWS,Google Cloud;AWS,Google Cloud;Azure,On-premise;AWS,Google Cloud;AWS;Azure,On-premise;Azure
ANALYTICS SURVEY,2020-10-29 06:03:47,amanshawir@adobe.com,Iran,IR,Mathematician,none,competent,beginner,competent,expert,beginner,beginner,none,competent,expert,proficient,5,Microsoft SQL Server,Google Cloud,Google Cloud,Google Cloud;AWS,On-premise,Google Cloud;AWS;Azure,On-premise
ANALYTICS SURVEY JAN-21,2020-04-16 04:59:54,rwhitlamis@prnewswire.com,France,FR,Statistician,competent,competent,beginner,proficient,proficient,competent,competent,competent,competent,proficient,none,3,Amazon Redshift,Azure,AWS,Google Cloud;AWS,On-premise;Azure,AWS,On-premise;AWS
ANALYTICS SURVEY JAN-21,2020-08-13 18:57:41,smccollumit@spiegel.de,Madagascar,MG,Physicist,proficient,beginner,competent,none,proficient,proficient,none,expert,none,competent,none,2,Microsoft SQL Server,On-premise,Google Cloud;Azure,AWS,On-premise;AWS,Google Cloud,On-premise
ANALYTICS SURVEY JAN-21,2020-10-29 21:21:10,xivashinnikoviu@va.gov,Palestinian Territory,PS,Data Analyst,expert,competent,competent,competent,beginner,proficient,none,proficient,competent,competent,beginner,1,Microsoft SQL Server,AWS,AWS;Azure,AWS,AWS;Azure,"Google Cloud;On-premise,AWS","Google Cloud;On-premise,AWS"
ANALYTICS SURVEY RETAIL,2020-08-04 01:54:50,fendeniv@webs.com,Peru,PE,Citizen Data Scientist,none,beginner,expert,expert,beginner,none,expert,expert,proficient,beginner,proficient,5,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,AWS;Azure,Google Cloud;Azure,On-premise;Azure,"Google Cloud;On-premise,AWS",Azure
ANALYTICS SURVEY JAN-21,2020-04-10 12:30:49,dwycherleyiw@reverbnation.com,Mexico,MX,Physicist,proficient,none,competent,none,beginner,expert,competent,none,expert,beginner,none,3,Amazon Redshift,On-premise,Azure,Azure,On-premise;AWS,Google Cloud;AWS;Azure,On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-05-11 06:52:55,washeix@cornell.edu,Bulgaria,BG,Physicist,competent,proficient,competent,beginner,proficient,expert,none,proficient,expert,competent,competent,1,Microsoft SQL Server,Google Cloud,Google Cloud;AWS;Azure,Google Cloud;Azure,On-premise;Azure,AWS,AWS
ANALYTICS SURVEY,2020-03-29 22:18:08,tcaudelieriy@amazon.co.uk,Poland,PL,Physicist,proficient,beginner,beginner,none,expert,beginner,beginner,beginner,expert,competent,expert,3,Microsoft SQL Server,AWS,Azure,Google Cloud;Azure,AWS,Google Cloud,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY FEB-21,2020-11-27 10:02:32,jronchettiiz@zimbio.com,Poland,PL,Data Engineer,beginner,proficient,proficient,expert,expert,none,competent,expert,competent,competent,expert,1,Amazon Redshift;Teradata,AWS,AWS;Azure,Google Cloud;AWS,AWS;Azure,On-premise;Azure,Google Cloud
ANALYTICS SURVEY RETAIL,2020-09-17 15:55:24,clunamj0@epa.gov,Brazil,BR,Mathematician,competent,competent,proficient,expert,competent,proficient,expert,competent,expert,proficient,competent,3,Google Cloud BigQuery,Google Cloud,AWS;Azure,Google Cloud,AWS,On-premise,On-premise;Azure
ANALYTICS SURVEY FSI,2020-09-16 12:44:56,atonnesenj1@usnews.com,China,CN,Data Scientist,competent,none,expert,beginner,expert,beginner,competent,beginner,proficient,competent,competent,1,Amazon Redshift;Google Cloud BigQuery;Oracle Database,AWS,AWS,AWS,Google Cloud,On-premise;Azure,On-premise;Azure
ANALYTICS SURVEY RETAIL,2020-10-27 13:10:44,sfaunchj2@blogger.com,Canada,CA,Data Scientist,beginner,none,expert,competent,competent,beginner,competent,competent,beginner,expert,beginner,2,Microsoft SQL Server,Google Cloud,AWS,Google Cloud;Azure,Azure,On-premise,On-premise;AWS
ANALYTICS SURVEY FEB-21,2020-11-20 10:36:23,fbellordj3@ameblo.jp,China,CN,Data Engineer,beginner,proficient,beginner,expert,proficient,beginner,competent,none,none,none,expert,2,Amazon Redshift,Azure,Google Cloud,AWS Azure,Google Cloud,On-premise;Azure,AWS
ANALYTICS SURVEY FEB-21,2020-03-13 00:09:03,nmacdonaghj4@webeden.co.uk,Indonesia,ID,Data Analyst,none,none,beginner,competent,expert,competent,beginner,proficient,competent,competent,beginner,3,Teradata,AWS,Azure,Azure,AWS;Azure,Google Cloud,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY RETAIL,2020-07-23 00:16:23,mtatlowej5@wordpress.com,Botswana,BW,Data Analyst,beginner,none,expert,proficient,proficient,competent,competent,proficient,expert,proficient,beginner,1,Microsoft SQL Server,Google Cloud,Google Cloud,Google Cloud;AWS,On-premise;Azure,On-premise;AWS,Azure
ANALYTICS SURVEY FEB-21,2020-07-29 07:49:27,vclinningj6@seattletimes.com,China,CN,Mathematician,beginner,none,proficient,beginner,beginner,competent,expert,beginner,competent,proficient,beginner,4,Amazon Redshift,Google Cloud,Google Cloud;AWS,Google Cloud;AWS;Azure,Google Cloud;On-premise;Azure,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY RETAIL,2020-07-25 00:31:35,bjirasekj7@webnode.com,New Zealand,NZ,Data Engineer,none,competent,none,expert,expert,beginner,beginner,none,competent,beginner,proficient,5,Microsoft SQL Server,Azure,AWS;Azure,AWS Azure,AWS;Azure,On-premise,Google Cloud;AWS;Azure
ANALYTICS SURVEY FSI,2020-11-09 19:53:58,molechnowiczj8@opera.com,China,CN,Mathematician,beginner,proficient,competent,beginner,none,competent,beginner,competent,competent,beginner,none,2,Amazon Redshift;Teradata,On-premise,Google Cloud;AWS;Azure,Google Cloud,Google Cloud;On-premise;Azure,Google Cloud;On-premise;Azure,AWS
ANALYTICS SURVEY FEB-21,2020-05-16 10:45:44,amattinglyj9@ycombinator.com,Indonesia,ID,Data Engineer,competent,none,competent,expert,proficient,beginner,competent,competent,expert,beginner,competent,4,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,Google Cloud;Azure,Azure,Google Cloud;On-premise;Azure,Google Cloud;AWS;Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY JAN-21,2020-01-29 00:43:03,ibelchja@flavors.me,Pakistan,PK,Data Scientist,beginner,beginner,beginner,competent,expert,expert,expert,proficient,none,none,competent,3,Microsoft SQL Server,Azure,AWS,Google Cloud;AWS,On-premise;Azure,"Google Cloud;On-premise,AWS",Google Cloud;On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-09-26 13:08:25,dstobiejb@acquirethisname.com,Indonesia,ID,Data Scientist,competent,none,none,none,competent,expert,none,proficient,none,proficient,competent,4,Google Cloud BigQuery,AWS,AWS;Azure,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure,AWS;Azure,On-premise;AWS
ANALYTICS SURVEY JAN-21,2020-09-18 01:47:20,rpenwelljc@usa.gov,Czech Republic,CZ,Mathematician,beginner,competent,proficient,expert,expert,proficient,beginner,competent,beginner,none,competent,1,Amazon Redshift,Google Cloud,AWS;Azure,AWS Azure,"Google Cloud;On-premise,AWS",AWS;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY,2020-07-17 09:46:03,rbradfordjd@sciencedirect.com,China,CN,Statistician,proficient,none,competent,competent,competent,proficient,beginner,proficient,proficient,expert,expert,3,Amazon Redshift,Google Cloud,Azure,AWS,On-premise;Azure,AWS;Azure,On-premise;Azure
ANALYTICS SURVEY RETAIL,2020-09-25 09:13:38,psmidmoreje@ucoz.com,Russia,RU,Statistician,competent,expert,proficient,none,beginner,expert,competent,none,competent,expert,competent,1,Oracle Database,Azure,AWS;Azure,AWS Azure,On-premise;Azure,"Google Cloud;On-premise,AWS",On-premise
ANALYTICS SURVEY RETAIL,2020-08-24 02:00:52,amaccaulljf@biglobe.ne.jp,China,CN,Mathematician,competent,competent,none,beginner,expert,expert,proficient,proficient,beginner,beginner,competent,4,Amazon Redshift;Teradata,Google Cloud,AWS,Google Cloud;Azure,Google Cloud,Azure,Azure
ANALYTICS SURVEY,2020-09-30 09:48:44,rhablotjg@360.cn,Philippines,PH,Data Engineer,none,beginner,proficient,expert,none,beginner,beginner,proficient,proficient,expert,expert,5,Microsoft SQL Server,Google Cloud,Google Cloud;Azure,Google Cloud;AWS,Google Cloud,Google Cloud,AWS;Azure
ANALYTICS SURVEY FEB-21,2020-08-20 02:20:59,zworksjh@hibu.com,China,CN,Physicist,proficient,expert,expert,expert,competent,none,competent,expert,none,expert,expert,1,Microsoft SQL Server,Azure,AWS,AWS,Google Cloud;On-premise;Azure,On-premise;AWS,Google Cloud;On-premise;Azure
ANALYTICS SURVEY FSI,2020-10-20 10:25:46,mstapletonji@t.co,Thailand,TH,Statistician,proficient,expert,proficient,proficient,competent,none,none,expert,none,none,none,3,Google Cloud BigQuery,On-premise,Google Cloud;AWS,AWS Azure,Azure,Google Cloud;On-premise;Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY JAN-21,2020-05-11 07:15:01,lbentzjj@last.fm,Japan,JP,Data Scientist,beginner,none,none,none,none,proficient,expert,competent,proficient,competent,expert,3,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,Google Cloud,Azure,Google Cloud;On-premise;Azure,"Google Cloud;On-premise,AWS",Azure
ANALYTICS SURVEY JAN-21,2020-08-03 08:18:53,emacnameejk@people.com.cn,Yemen,YE,Physicist,,expert,none,,beginner,none,beginner,none,,competent,beginner,,Teradata,Google Cloud,Azure,,Google Cloud;On-premise;Azure,,On-premise
ANALYTICS SURVEY RETAIL,2020-01-19 13:56:09,sgudahyjl@google.fr,Philippines,PH,Mathematician,expert,proficient,expert,beginner,expert,proficient,beginner,competent,none,expert,expert,5,Amazon Redshift;Teradata,Azure,Google Cloud,AWS,On-premise,On-premise,Azure
ANALYTICS SURVEY JAN-21,2020-10-25 12:44:55,abyrnejm@unc.edu,Indonesia,ID,Data Engineer,competent,none,expert,none,competent,beginner,competent,competent,competent,proficient,expert,4,Oracle Database,On-premise,AWS,Google Cloud;AWS,Google Cloud,"Google Cloud;On-premise,AWS",On-premise
ANALYTICS SURVEY,2020-08-13 11:31:29,choulridgejn@shutterfly.com,Egypt,EG,Mathematician,competent,none,beginner,expert,competent,competent,beginner,proficient,competent,beginner,proficient,5,Microsoft SQL Server,Google Cloud,Azure,AWS,AWS,Google Cloud;AWS;Azure,AWS
ANALYTICS SURVEY JAN-21,2020-07-08 23:31:24,csheavillsjo@tumblr.com,Indonesia,ID,Citizen Data Scientist,none,competent,beginner,none,none,none,proficient,proficient,competent,competent,proficient,5,Microsoft SQL Server,Google Cloud,Google Cloud;AWS;Azure,Google Cloud;Azure,Google Cloud;On-premise;Azure,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY FEB-21,2020-07-30 16:23:52,jbalazsjp@miibeian.gov.cn,Iran,IR,Data Scientist,proficient,none,competent,proficient,none,none,expert,proficient,none,beginner,competent,3,Microsoft SQL Server,AWS,Google Cloud;Azure,AWS Azure,Google Cloud;AWS;Azure,"Google Cloud;On-premise,AWS",Google Cloud;AWS;Azure
ANALYTICS SURVEY,2020-10-24 18:27:01,dwallicejq@histats.com,Cuba,CU,Data Analyst,competent,beginner,none,expert,none,none,proficient,competent,none,proficient,competent,3,Microsoft SQL Server,AWS,Google Cloud,Google Cloud;Azure,Google Cloud,On-premise;Azure,Azure
ANALYTICS SURVEY FSI,2020-02-19 18:24:27,khamfleetjr@twitter.com,Thailand,TH,Statistician,competent,none,beginner,expert,beginner,beginner,proficient,beginner,expert,beginner,expert,1,Amazon Redshift;Teradata,AWS,AWS;Azure,Google Cloud,On-premise,"Google Cloud;On-premise,AWS",Google Cloud;On-premise;Azure
ANALYTICS SURVEY,2020-06-19 06:46:21,cdulsonjs@sina.com.cn,China,CN,Mathematician,none,competent,beginner,expert,none,expert,competent,beginner,none,beginner,proficient,3,Oracle Database,Azure,AWS;Azure,Google Cloud;Azure,On-premise;Azure,AWS;Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-03-05 23:37:39,pmidlarjt@lycos.com,Indonesia,ID,Physicist,expert,competent,beginner,proficient,expert,expert,none,competent,competent,competent,beginner,3,Amazon Redshift;Teradata,Google Cloud,AWS,Google Cloud;AWS,Azure,On-premise;AWS,Google Cloud
ANALYTICS SURVEY FSI,2020-09-06 19:40:32,ghanckeju@bloglovin.com,Philippines,PH,Physicist,none,beginner,proficient,beginner,competent,proficient,expert,proficient,beginner,expert,competent,4,Oracle Database,On-premise,Google Cloud;AWS;Azure,AWS,AWS,On-premise;AWS,On-premise;AWS
ANALYTICS SURVEY JAN-21,2020-07-10 05:03:11,ilattosjv@smugmug.com,China,CN,Physicist,proficient,beginner,proficient,competent,proficient,proficient,proficient,proficient,beginner,expert,none,3,Microsoft SQL Server,Azure,Google Cloud,AWS Azure,On-premise,"Google Cloud;On-premise,AWS",Google Cloud;AWS;Azure
ANALYTICS SURVEY FEB-21,2020-09-22 11:18:26,mplaisterjw@prweb.com,France,FR,Physicist,competent,none,beginner,proficient,expert,competent,competent,none,expert,beginner,expert,2,Oracle Database,Google Cloud,Google Cloud;Azure,Google Cloud,On-premise;Azure,Google Cloud;On-premise;Azure,On-premise;AWS
ANALYTICS SURVEY FEB-21,2020-06-03 01:13:15,sdemongejx@globo.com,Finland,FI,Physicist,proficient,beginner,beginner,expert,competent,none,expert,beginner,proficient,competent,beginner,3,Google Cloud BigQuery,On-premise,Google Cloud;Azure,Azure,On-premise,Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-06-15 11:27:53,apaikjy@bizjournals.com,Indonesia,ID,Data Engineer,expert,competent,expert,beginner,competent,proficient,none,competent,none,none,expert,3,Amazon Redshift,Google Cloud,AWS,Google Cloud;Azure,AWS,Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY,2020-02-23 01:09:14,cchiplenjz@gravatar.com,Russia,RU,Physicist,none,expert,expert,none,beginner,expert,expert,beginner,expert,proficient,expert,4,Google Cloud BigQuery,Google Cloud,Google Cloud,Azure,AWS,AWS,Google Cloud;AWS;Azure
ANALYTICS SURVEY FEB-21,2020-03-03 20:01:03,lmurpheyk0@instagram.com,Sweden,SE,Physicist,proficient,expert,beginner,beginner,proficient,none,none,competent,competent,beginner,proficient,2,Microsoft SQL Server,On-premise,AWS;Azure,Google Cloud;Azure,On-premise;Azure,On-premise;Azure,AWS;Azure
ANALYTICS SURVEY,2020-09-15 08:11:48,mbreewoodk1@weibo.com,Japan,JP,Mathematician,none,none,competent,expert,proficient,beginner,competent,competent,proficient,expert,competent,5,Microsoft SQL Server,Azure,Azure,AWS Azure,On-premise;Azure,Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY FEB-21,2020-03-24 21:20:54,kjoplingk2@cdc.gov,United States,US,Mathematician,none,beginner,competent,expert,proficient,expert,beginner,expert,beginner,none,none,3,Amazon Redshift;Teradata,AWS,Google Cloud;Azure,Azure,AWS;Azure,Google Cloud;AWS;Azure,AWS;Azure
ANALYTICS SURVEY RETAIL,2020-02-12 23:19:36,msirrk3@discovery.com,Portugal,PT,Data Engineer,expert,none,none,expert,competent,competent,proficient,beginner,beginner,competent,none,1,Microsoft SQL Server,AWS,Google Cloud,Azure,Google Cloud;AWS;Azure,"Google Cloud;On-premise,AWS",AWS
ANALYTICS SURVEY FSI,2020-09-03 22:38:16,mbookerk4@icq.com,Indonesia,ID,Data Analyst,competent,proficient,competent,proficient,expert,expert,none,beginner,competent,proficient,expert,2,Microsoft SQL Server,On-premise,Google Cloud;Azure,AWS,On-premise;Azure,Google Cloud,Google Cloud;AWS;Azure
ANALYTICS SURVEY FEB-21,2020-08-14 08:48:21,lclifforthk5@google.cn,Indonesia,ID,Mathematician,competent,competent,expert,expert,expert,beginner,none,proficient,beginner,competent,none,2,Amazon Redshift;Teradata,AWS,Google Cloud,AWS,"Google Cloud;On-premise,AWS",On-premise;AWS,Azure
ANALYTICS SURVEY,2020-02-28 16:13:43,hroarkk6@google.ru,Brazil,BR,Data Engineer,proficient,competent,proficient,none,expert,expert,beginner,expert,proficient,proficient,expert,3,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Azure,Google Cloud;AWS,On-premise,Google Cloud,Google Cloud;AWS;Azure
ANALYTICS SURVEY JAN-21,2020-12-08 15:23:46,sbeckhurstk7@arizona.edu,Indonesia,ID,Mathematician,beginner,competent,none,proficient,competent,beginner,none,none,competent,none,proficient,3,Microsoft SQL Server,Azure,Google Cloud;AWS,Azure,"Google Cloud;On-premise,AWS","Google Cloud;On-premise,AWS",Azure
ANALYTICS SURVEY RETAIL,2020-03-17 16:11:19,adecayettek8@google.es,Portugal,PT,Data Scientist,expert,none,proficient,proficient,competent,proficient,proficient,proficient,expert,expert,proficient,4,Microsoft SQL Server,On-premise,Azure,Google Cloud;AWS;Azure,AWS,Google Cloud;On-premise;Azure,Google Cloud
ANALYTICS SURVEY RETAIL,2020-04-20 22:20:25,ychoppingk9@reference.com,China,CN,Citizen Data Scientist,proficient,proficient,expert,beginner,proficient,expert,competent,none,proficient,beginner,none,5,Teradata,AWS,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure,AWS,On-premise;AWS
ANALYTICS SURVEY RETAIL,2020-10-27 10:42:45,sryeka@vkontakte.ru,Iran,IR,Physicist,beginner,expert,beginner,none,beginner,beginner,beginner,beginner,beginner,none,beginner,1,Amazon Redshift,Google Cloud,Google Cloud;AWS,Google Cloud;AWS;Azure,On-premise;AWS,"Google Cloud;On-premise,AWS",Google Cloud;AWS;Azure
ANALYTICS SURVEY RETAIL,2020-07-11 20:25:32,mtansleykb@wp.com,Brazil,BR,Physicist,beginner,none,proficient,competent,expert,expert,beginner,competent,proficient,competent,beginner,4,Amazon Redshift;Teradata,On-premise,Google Cloud,Azure,On-premise;Azure,AWS,On-premise
ANALYTICS SURVEY FEB-21,2020-09-05 23:34:20,lbaneskc@theatlantic.com,Poland,PL,Statistician,competent,competent,competent,expert,beginner,proficient,proficient,beginner,expert,none,competent,3,Teradata,Google Cloud,AWS,AWS,Google Cloud;AWS;Azure,On-premise;Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-11-06 08:21:34,fkeytekd@redcross.org,Armenia,AM,Citizen Data Scientist,proficient,competent,proficient,beginner,expert,none,beginner,none,proficient,beginner,beginner,1,Amazon Redshift,On-premise,AWS,AWS Azure,Google Cloud,Google Cloud;AWS;Azure,On-premise;AWS
ANALYTICS SURVEY,2020-09-26 08:47:37,jtwelftreeke@reference.com,Indonesia,ID,Data Scientist,competent,beginner,beginner,beginner,expert,competent,proficient,expert,beginner,proficient,none,1,Microsoft SQL Server,Azure,Google Cloud,Google Cloud,AWS;Azure,On-premise,On-premise;Azure
ANALYTICS SURVEY RETAIL,2020-02-29 11:33:02,hgerlackkf@washington.edu,Indonesia,ID,Citizen Data Scientist,none,expert,beginner,competent,competent,competent,none,expert,expert,proficient,none,3,Oracle Database,Google Cloud,Google Cloud;Azure,Google Cloud;Azure,On-premise,Google Cloud;On-premise;Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY JAN-21,2020-04-30 01:15:32,gbrunnerkg@sbwire.com,Chile,CL,Data Analyst,none,expert,none,expert,expert,expert,beginner,beginner,proficient,beginner,beginner,4,Amazon Redshift;Teradata,Azure,Google Cloud,Google Cloud,On-premise;Azure,"Google Cloud;On-premise,AWS",AWS;Azure
ANALYTICS SURVEY JAN-21,2020-04-24 19:14:45,jdeacockkh@phpbb.com,Sweden,SE,Citizen Data Scientist,competent,competent,competent,beginner,competent,none,beginner,competent,expert,none,expert,1,Amazon Redshift,Azure,Google Cloud;AWS;Azure,Google Cloud;AWS,"Google Cloud;On-premise,AWS",Google Cloud,AWS;Azure
ANALYTICS SURVEY FSI,2020-10-03 12:40:18,dgronoki@zdnet.com,Sweden,SE,Statistician,expert,beginner,expert,none,beginner,expert,none,beginner,expert,competent,proficient,5,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,Google Cloud;AWS,Google Cloud,On-premise;Azure,On-premise;AWS,Google Cloud;AWS;Azure
ANALYTICS SURVEY,2020-11-19 08:15:38,epllukj@typepad.com,Haiti,HT,Mathematician,none,beginner,expert,beginner,competent,expert,expert,proficient,expert,none,competent,3,Amazon Redshift;Teradata,AWS,Google Cloud;Azure,Google Cloud;Azure,AWS,Google Cloud,Google Cloud;On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-03-19 15:42:00,cbeechcraftkk@apple.com,Honduras,HN,Data Scientist,beginner,beginner,expert,expert,expert,none,none,none,proficient,proficient,beginner,3,Oracle Database,Google Cloud,Google Cloud;AWS,Azure,"Google Cloud;On-premise,AWS",Azure,Azure
ANALYTICS SURVEY FEB-21,2020-09-06 13:03:16,dpetzoltkl@youtu.be,Poland,PL,Data Analyst,beginner,proficient,competent,expert,beginner,expert,expert,expert,none,proficient,none,4,Microsoft SQL Server,On-premise,Google Cloud;AWS;Azure,AWS Azure,Google Cloud;On-premise;Azure,"Google Cloud;On-premise,AWS",On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-04-23 17:54:50,tchaffinkm@go.com,Morocco,MA,Data Engineer,competent,expert,beginner,beginner,expert,beginner,competent,expert,competent,beginner,proficient,3,Google Cloud BigQuery,Google Cloud,Google Cloud,Azure,Google Cloud,Google Cloud;On-premise;Azure,On-premise;AWS
ANALYTICS SURVEY FEB-21,2020-11-28 08:50:45,bquixleykn@printfriendly.com,Palau,PW,Mathematician,expert,none,beginner,beginner,beginner,expert,expert,proficient,none,beginner,expert,4,Microsoft SQL Server,AWS,Azure,AWS,Google Cloud;AWS;Azure,On-premise;AWS,On-premise
ANALYTICS SURVEY,2020-01-30 10:49:39,acamoysko@barnesandnoble.com,Indonesia,ID,Citizen Data Scientist,competent,competent,beginner,none,beginner,beginner,expert,proficient,proficient,beginner,competent,1,Amazon Redshift;Google Cloud BigQuery;Oracle Database,AWS,Google Cloud;AWS;Azure,Google Cloud;Azure,AWS,Google Cloud,Google Cloud
ANALYTICS SURVEY,2020-09-17 20:34:22,ebanglekp@vkontakte.ru,South Africa,ZA,Data Scientist,proficient,none,proficient,competent,beginner,proficient,proficient,none,none,none,expert,5,Amazon Redshift;Teradata,On-premise,Google Cloud;Azure,Google Cloud,On-premise,On-premise;Azure,On-premise;Azure
ANALYTICS SURVEY RETAIL,2020-11-22 08:28:39,ahalesworthkq@github.io,Philippines,PH,Data Engineer,beginner,beginner,competent,competent,beginner,beginner,competent,beginner,competent,competent,competent,3,Microsoft SQL Server,Azure,Google Cloud;AWS;Azure,Google Cloud,AWS;Azure,AWS;Azure,Azure
ANALYTICS SURVEY FSI,2020-11-03 14:00:47,ihawkr@yale.edu,Thailand,TH,Data Scientist,beginner,none,beginner,competent,expert,beginner,competent,none,proficient,proficient,proficient,4,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,Google Cloud;AWS;Azure,AWS,"Google Cloud;On-premise,AWS",Google Cloud;AWS;Azure,AWS
ANALYTICS SURVEY RETAIL,2020-09-13 20:45:12,ndateks@auda.org.au,China,CN,Data Analyst,competent,none,expert,expert,proficient,expert,expert,competent,proficient,competent,none,1,Google Cloud BigQuery,AWS,Azure,AWS,AWS,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY FSI,2020-04-12 00:55:14,rmulberrykt@indiegogo.com,Russia,RU,Physicist,none,competent,beginner,proficient,none,competent,none,competent,beginner,competent,expert,1,Amazon Redshift;Teradata,AWS,Google Cloud;AWS;Azure,Google Cloud;Azure,AWS;Azure,On-premise;AWS,Google Cloud;AWS;Azure
ANALYTICS SURVEY FEB-21,2020-10-21 18:56:33,dclemenceku@shop-pro.jp,Poland,PL,Data Engineer,competent,none,beginner,beginner,proficient,proficient,none,expert,proficient,none,expert,3,Teradata,On-premise,Google Cloud;AWS,Google Cloud;AWS;Azure,AWS;Azure,Google Cloud;On-premise;Azure,Google Cloud
ANALYTICS SURVEY FEB-21,2020-10-13 13:08:37,jjeppskv@ning.com,France,FR,Data Scientist,beginner,competent,beginner,beginner,proficient,beginner,none,proficient,proficient,competent,proficient,4,Oracle Database,Google Cloud,AWS,Azure,On-premise,Google Cloud,AWS
ANALYTICS SURVEY FSI,2020-03-24 15:32:13,mwoodyearekw@usda.gov,China,CN,Data Engineer,beginner,beginner,none,competent,none,competent,none,proficient,expert,competent,expert,2,Teradata,On-premise,Google Cloud,Google Cloud;Azure,AWS;Azure,Azure,On-premise;Azure
